,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temperature Difference,Power,Mean Temperature,Wear strain
0,1,0.30434782608695343,0.3580246913580325,0.22293364377182778,0.5357142857142856,0.0,0,0.6444444444444437,0.6225565531559222,0.3313953488372121,0.0
1,2,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.5837912087912087,0.011857707509881422,0,0.6444444444444437,0.6091608473311944,0.34302325581395365,0.008419712675031821
2,2,0.30434782608695343,0.3456790123456841,0.19208381839348088,0.6263736263736263,0.01976284584980237,0,0.6222222222222167,0.708143474704989,0.32558139534884134,0.014972419227738376
3,2,0.3152173913043441,0.3580246913580325,0.15424912689173464,0.49038461538461536,0.02766798418972332,0,0.6222222222222296,0.5126935659270044,0.3372093023255758,0.016760623143601865
4,2,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.4972527472527473,0.035573122529644265,0,0.6444444444444437,0.5095086593509307,0.34302325581395365,0.021822149481723948
5,1,0.30434782608695343,0.3580246913580325,0.1495925494761351,0.5233516483516483,0.043478260869565216,0,0.6444444444444437,0.547564641807544,0.3313953488372121,0.02793841304479602
6,2,0.30434782608695343,0.3580246913580325,0.2270081490104774,0.5302197802197801,0.05533596837944664,0,0.6444444444444437,0.618921153621469,0.3313953488372121,0.035982299812087046
7,2,0.30434782608695343,0.3580246913580325,0.20896391152502913,0.5,0.06324110671936758,0,0.6444444444444437,0.5664145703577881,0.3313953488372121,0.03898890707401346
8,1,0.3260869565217348,0.3703703703703738,0.29045401629802103,0.34065934065934067,0.07114624505928853,0,0.6222222222222167,0.41240214978385337,0.3488372093023244,0.03120567375886525
9,1,0.3478260869565162,0.4074074074074119,0.33352735739231665,0.3324175824175824,0.08300395256916995,0,0.6444444444444437,0.4244430064619339,0.3779069767441854,0.03564284415348245
10,3,0.3369565217391255,0.3950617283950635,0.35739231664726423,0.2760989010989011,0.09486166007905138,0,0.6444444444444437,0.35526031977136074,0.36627906976743674,0.03476995817421349
11,3,0.35869565217391397,0.4197530864197603,0.1484284051222352,0.5563186813186812,0.11462450592885375,0,0.6444444444444437,0.5849903834919608,0.38953488372093403,0.07787476510880764
12,1,0.35869565217391397,0.4197530864197603,0.09953434225844005,0.6497252747252747,0.13438735177865613,0,0.6444444444444437,0.6454755228414536,0.38953488372093403,0.10531611808207553
13,1,0.35869565217391397,0.4320987654321016,0.3341094295692667,0.3598901098901099,0.14624505928853754,0,0.6666666666666583,0.46389765159481255,0.3953488372092977,0.06728496090198217
14,2,0.35869565217391397,0.4320987654321016,0.5046565774155997,0.2170329670329671,0.15810276679841895,0,0.6666666666666583,0.3248851860839243,0.3953488372092977,0.04752379220464327
15,2,0.35869565217391397,0.4320987654321016,0.2176949941792783,0.6126373626373626,0.1660079051383399,0,0.6666666666666583,0.7152390196554235,0.3953488372092977,0.12322240407346789
16,1,0.35869565217391397,0.4320987654321016,0.08323632130384173,0.5879120879120879,0.17391304347826086,0,0.6666666666666583,0.5631251853649331,0.3953488372092977,0.12428926471479664
17,1,0.36956521739129755,0.4320987654321016,0.14086146682188594,0.5741758241758241,0.18577075098814227,0,0.6444444444444437,0.599112944538812,0.4011627906976756,0.12991452991452992
18,3,0.38043478260869534,0.4320987654321016,0.08032596041909201,0.6964285714285714,0.1976284584980237,0,0.6222222222222167,0.6764157387185779,0.40697674418604635,0.16518154816027156
19,1,0.3913043478260789,0.44444444444444997,0.270081490104773,0.3942307692307692,0.21739130434782608,0,0.6222222222222296,0.47266035751840174,0.418604651162795,0.10835303388494877
20,3,0.3913043478260789,0.44444444444444997,0.12048894062863802,0.5343406593406593,0.2292490118577075,0,0.6222222222222296,0.5363865746357861,0.418604651162795,0.15012426501788206
21,2,0.38043478260869534,0.44444444444444997,0.1641443538998837,0.5631868131868131,0.24901185770750986,0,0.6444444444444437,0.6065724788122264,0.4127906976744171,0.17108565193671574
22,1,0.3913043478260789,0.44444444444444997,0.24039580908032598,0.3695054945054945,0.2569169960474308,0,0.6222222222222296,0.42206921189571034,0.418604651162795,0.12096138691883372
23,2,0.4021739130434767,0.45679012345679126,0.3434225844004658,0.3008241758241758,0.26877470355731226,0,0.6222222222222167,0.3843659845237133,0.43023255813953654,0.10593441231739104
24,1,0.4021739130434767,0.45679012345679126,0.22875436554132722,0.46016483516483514,0.27667984189723316,0,0.6222222222222167,0.5309132537050518,0.43023255813953654,0.1582712008243923
25,2,0.4021739130434767,0.46913580246913966,0.4033760186263097,0.2678571428571429,0.2885375494071146,0,0.6444444444444437,0.36392753466885963,0.4360465116279073,0.1031035945929563
26,2,0.4130434782608674,0.46913580246913966,0.20023282887077998,0.4835164835164835,0.2964426877470355,0,0.6222222222222167,0.5392569225376797,0.4418604651162781,0.1773049645390071
